[2025-01-06 18:25:49.055] [info]  DiscordSplash.signalReady
[2025-01-06 18:25:49.067] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-06 18:25:49.067] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-06 18:25:49.068] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-06 18:25:49.069] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-06 18:25:49.069] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-06 18:25:49.069] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-06 18:25:49.069] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-06 18:25:49.069] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-06 18:25:49.069] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-06 18:25:49.070] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-06 18:25:49.070] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-06 18:25:49.070] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-06 18:25:49.070] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-06 18:25:49.070] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-06 18:25:49.608] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-06 18:25:49.609] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-06 18:25:50.056] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-06 18:25:50.410] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-06 18:25:50.411] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-06 18:25:50.418] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-01-06 18:25:50.419] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-01-06 18:25:50.501] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-01-06 18:25:50.502] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-01-06 18:25:50.528] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-01-06 18:25:50.530] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
